ID,ra,dec,redshift,u,g,r,i,z,type,v_pec
1237662238559699162,230.1062197861548,7.887829034324895,0.033655368,-16.835876,-18.537048,-17.840694,-18.822195,-19.108225,0.9491415023803711,-99.9207682644655
1237662264860803462,231.4274219189711,7.796602626774082,0.03422298,-16.886545,-18.406466,-17.9422,-18.601881,-18.611986,4.207265377044678,64.64963470487359
1237661950274175296,230.52474843816194,9.1119384874311,0.035948344,-16.536087,-18.304981,-17.762724,-18.627901,-18.631968,0.6459364891052246,564.8924920595273
1237661949200367935,230.24885695204225,8.30845489425944,0.03930424,-16.653131,-18.913488,-18.186966,-19.263296,-19.459837,-0.8876255750656128,1537.8831212977932
1237662264323211473,229.72360659092183,7.575934867717993,0.036953323,-17.561415,-19.919197,-19.198223,-20.256638,-20.494257,-1.9518061876296997,856.2707557426829
1237661949737566446,231.0524476642104,8.544807308025643,0.037114806,-18.570707,-20.593523,-19.977184,-20.878428,-21.087639,3.7221360206604004,903.0902774982083
1237662198821290123,229.59311314721867,8.63003561243132,0.03438248,-17.720526,-19.018633,-18.634901,-19.174704,-19.314177,4.024364948272705,110.89421599210759
1237662264860147802,229.9776468753276,8.023685465349251,0.03626087,-16.994967,-17.945208,-17.664568,-18.193298,-18.276068,4.276509761810303,655.504617522688
1237662264860082397,229.76413972564313,8.138766211132479,0.033779178,-18.840637,-21.248913,-20.4682,-21.652061,-21.878788,-1.953616976737976,-64.02395566777247
1237662264859885794,229.38207393619558,8.075581391334149,0.03737336,-17.905653,-19.242165,-18.823774,-19.435478,-19.59785,4.287415504455566,978.05404847087
1237661949200171210,229.77070408337696,8.480406758121747,0.033800635,-17.047981,-18.497938,-18.047659,-18.775486,-18.9225,5.267046928405762,-57.802827262253366
1237661949201285438,232.39847224968676,8.040839049242509,0.039915323,-18.777721,-20.62948,-20.031149,-20.914694,-21.124815,-1.8773313760757446,1715.057274694327
1237662199895687497,231.24188200433667,9.156395027452449,0.03205092,-16.316677,-17.76426,-17.270203,-18.082533,-18.112583,1.151167392730713,-565.1058839832125
1237662198821552316,230.0822294592636,8.488328653785095,0.036328934,-16.458618,-18.654015,-17.949484,-18.974298,-19.310328,3.726543426513672,675.2387315084829
1237661950274633899,231.59352428049164,8.987352658318283,0.03497085,-18.444609,-20.856129,-20.099192,-21.214184,-21.494728,-2.401346206665039,281.48308302640095
