wavelength flux
4230.0098855694705 1.0239477654991742e-15
4234.185936039956 1.1988688729494848e-15
4238.361986510441 1.1689408799177793e-15
4242.538036980926 1.3585159233075825e-15
4246.714087451412 1.2135068569600798e-15
4250.890137921897 1.1845746104194176e-15
4255.066188392382 1.2770697072246616e-15
4259.242238862867 1.2864397972119203e-15
4263.418289333353 1.322941654879906e-15
4267.594339803838 1.2491506966700928e-15
4271.770390274323 1.3217420791767074e-15
4275.946440744809 1.1568924127841312e-15
4280.122491215294 1.3259429252753492e-15
4284.298541685779 1.0556873909095652e-15
4288.474592156264 1.0659309216776502e-15
4292.65064262675 1.0584716572684036e-15
4296.826693097235 1.318979809921306e-15
4301.002743567721 1.3615417548936473e-15
4305.178794038206 1.2183610460922278e-15
4309.354844508692 1.0916400269691015e-15
4313.530894979177 9.697622528696866e-16
4317.706945449662 1.1655627710183031e-15
4321.882995920148 1.2241536299829106e-15
4326.059046390633 1.083548399713791e-15
4330.235096861118 1.0993260829073439e-15
4334.411147331603 1.1619452748535471e-15
4338.587197802089 9.80847882026362e-16
4342.763248272574 9.334208813982076e-16
4346.939298743059 1.1636557894739631e-15
4351.1153492135445 1.0367153090063225e-15
4355.29139968403 1.1888198414884167e-15
4359.467450154515 1.2749359397524035e-15
4363.643500625 1.3519295448110112e-15
4367.819551095486 1.26405031927871e-15
4371.995601565971 1.4596340357556137e-15
4376.171652036456 1.0591893899535898e-15
4380.3477025069415 1.2527753227252475e-15
4384.523752977427 1.3552824829914546e-15
4388.699803447913 1.2694241434039743e-15
4392.875853918398 1.3996395203660814e-15
4397.0519043888835 1.198518660290179e-15
4401.227954859369 1.1583147264978461e-15
4405.404005329854 1.2158380887524914e-15
4409.580055800339 1.2757741773013813e-15
4413.756106270825 1.3201689617973522e-15
4417.93215674131 1.0412878398006921e-15
4422.108207211795 1.0194911165601232e-15
4426.28425768228 1.017980703272035e-15
4430.460308152766 1.142237269153804e-15
4434.636358623251 9.544443600699049e-16
4438.812409093736 1.309761081109262e-15
4442.988459564222 1.2081351298957734e-15
4447.164510034707 1.1156507817294692e-15
4451.340560505192 1.372267704975653e-15
4455.516610975677 1.2348022956313244e-15
4459.692661446163 1.29334221077728e-15
4463.868711916648 1.392592162487713e-15
4468.044762387133 1.065156991437171e-15
4472.2208128576185 1.1684440643245035e-15
4476.396863328104 1.2077737529595734e-15
4480.572913798589 1.1183687587965567e-15
4484.748964269074 1.4000881846588709e-15
4488.92501473956 1.463493824214042e-15
4493.101065210045 1.3898769539140138e-15
4497.27711568053 1.3462487548474915e-15
4501.4531661510155 1.530867964944283e-15
4505.629216621501 1.2797200945278316e-15
4509.805267091986 1.2390903897088637e-15
4513.981317562471 1.3266802602845128e-15
4518.157368032957 1.5567838494361093e-15
4522.333418503442 1.1946045699815599e-15
4526.509468973927 1.2631673676679992e-15
4530.685519444412 1.373838508583906e-15
4534.861569914898 1.4976987102381477e-15
4539.037620385383 1.5608786554313711e-15
4543.213670855868 1.5299467042098676e-15
4547.3897213263535 1.4949263634968686e-15
4551.565771796839 1.3436911537545463e-15
4555.741822267324 1.3933346746258916e-15
4559.917872737809 1.4669658404768083e-15
4564.093923208295 1.582956806538352e-15
4568.26997367878 1.4025388098957435e-15
4572.446024149265 1.3084333068392815e-15
4576.6220746197505 1.376140237254297e-15
4580.798125090236 1.4533993671067675e-15
4584.974175560721 1.4397953857328753e-15
4589.150226031206 1.533974035102142e-15
4593.326276501692 1.5431888363808595e-15
4597.502326972177 1.4942511179349607e-15
4601.678377442662 1.4671561190872314e-15
4605.854427913147 1.2969752358473047e-15
4610.030478383633 1.2911692119795437e-15
4614.206528854118 1.400909405425153e-15
4618.382579324603 1.4181081907343037e-15
4622.558629795089 1.4365331222460494e-15
4626.734680265574 1.4833453448746013e-15
4630.910730736059 1.554141009386544e-15
4635.086781206544 1.5533353633149008e-15
4639.26283167703 1.4269122049664183e-15
4643.438882147515 1.4758508533790588e-15
4647.614932618 1.4925939799580874e-15
4651.7909830884855 1.4973416611211901e-15
4655.967033558972 1.541048346150626e-15
4660.143084029457 1.4780881630051842e-15
4664.319134499942 1.4659560718708229e-15
4668.4951849704275 1.45728301260342e-15
4672.671235440913 1.4189119811530873e-15
4676.847285911398 1.3600668303124254e-15
4681.023336381883 1.2728285954103353e-15
4685.199386852369 1.3897282917987653e-15
4689.375437322854 1.1794291207913587e-15
4693.551487793339 1.3817415764554393e-15
4697.7275382638245 1.4662542011452422e-15
4701.90358873431 1.4778777699126491e-15
4706.079639204795 1.4270438505544743e-15
4710.25568967528 1.2953033408317658e-15
