name,inst,filter,mjd,bjd,mag,magerr,flux,fluxerr
5617186348318629248,TESS,TGLC,0.0,58492.55645452114,0.0,0.0,0.9976843595504761,0.0
5617186348318629248,TESS,TGLC,0.0,58492.577287963126,0.0,0.0,0.9971228837966919,0.0
5617186348318629248,TESS,TGLC,0.0,58492.59812140465,0.0,0.0,0.9959517121315002,0.0
5617186348318629248,TESS,TGLC,0.0,58492.61895484477,0.0,0.0,0.997243344783783,0.0
5617186348318629248,TESS,TGLC,0.0,58492.63978828397,0.0,0.0,0.9958858489990234,0.0
5617186348318629248,TESS,TGLC,0.0,58492.66062172223,0.0,0.0,0.9964113235473633,0.0
5617186348318629248,TESS,TGLC,0.0,58492.681455160026,0.0,0.0,1.00227952003479,0.0
5617186348318629248,TESS,TGLC,0.0,58492.70228859689,0.0,0.0,0.9991959929466248,0.0
5617186348318629248,TESS,TGLC,0.0,58492.72312203236,0.0,0.0,1.0016554594039917,0.0
5617186348318629248,TESS,TGLC,0.0,58492.74395546736,0.0,0.0,0.9949364066123962,0.0
5617186348318629248,TESS,TGLC,0.0,58492.76478890143,0.0,0.0,1.0014302730560303,0.0
5617186348318629248,TESS,TGLC,0.0,58492.78562233457,0.0,0.0,0.997653067111969,0.0
5617186348318629248,TESS,TGLC,0.0,58492.80645576678,0.0,0.0,0.998286247253418,0.0
5617186348318629248,TESS,TGLC,0.0,58492.827289198525,0.0,0.0,0.9971421360969543,0.0
5617186348318629248,TESS,TGLC,0.0,58492.84812262887,0.0,0.0,0.9973194599151611,0.0
5617186348318629248,TESS,TGLC,0.0,58492.868956058286,0.0,0.0,1.0003347396850586,0.0
5617186348318629248,TESS,TGLC,0.0,58492.889789487235,0.0,0.0,0.9934925436973572,0.0
5617186348318629248,TESS,TGLC,0.0,58492.91062291479,0.0,0.0,1.0004292726516724,0.0
5617186348318629248,TESS,TGLC,0.0,58492.931456341874,0.0,0.0,0.9943792223930359,0.0
5617186348318629248,TESS,TGLC,0.0,58492.95228976803,0.0,0.0,0.9955525994300842,0.0
5617186348318629248,TESS,TGLC,0.0,58492.97312319325,0.0,0.0,0.9999802112579346,0.0
5617186348318629248,TESS,TGLC,0.0,58492.993956617545,0.0,0.0,0.9982075691223145,0.0
5617186348318629248,TESS,TGLC,0.0,58493.01479004091,0.0,0.0,1.0029454231262207,0.0
5617186348318629248,TESS,TGLC,0.0,58493.03562346334,0.0,0.0,0.9945167303085327,0.0
5617186348318629248,TESS,TGLC,0.0,58493.0564568853,0.0,0.0,0.9935104846954346,0.0
5617186348318629248,TESS,TGLC,0.0,58493.07729030587,0.0,0.0,0.9959615468978882,0.0
5617186348318629248,TESS,TGLC,0.0,58493.09812372597,0.0,0.0,1.0003161430358887,0.0
5617186348318629248,TESS,TGLC,0.0,58493.11895714514,0.0,0.0,1.0002516508102417,0.0
5617186348318629248,TESS,TGLC,0.0,58493.13979056338,0.0,0.0,1.002028465270996,0.0
5617186348318629248,TESS,TGLC,0.0,58493.160623980686,0.0,0.0,0.9957777261734009,0.0
5617186348318629248,TESS,TGLC,0.0,58493.18145739706,0.0,0.0,0.9942668676376343,0.0
5617186348318629248,TESS,TGLC,0.0,58493.20229081251,0.0,0.0,1.0017564296722412,0.0
5617186348318629248,TESS,TGLC,0.0,58493.22312422749,0.0,0.0,1.0012462139129639,0.0
5617186348318629248,TESS,TGLC,0.0,58493.243957641535,0.0,0.0,0.9970603585243225,0.0
5617186348318629248,TESS,TGLC,0.0,58493.26479105465,0.0,0.0,1.0057841539382935,0.0
5617186348318629248,TESS,TGLC,0.0,58493.28562446684,0.0,0.0,1.0037271976470947,0.0
5617186348318629248,TESS,TGLC,0.0,58493.30645787809,0.0,0.0,0.9977201819419861,0.0
5617186348318629248,TESS,TGLC,0.0,58493.32729128841,0.0,0.0,0.9998833537101746,0.0
5617186348318629248,TESS,TGLC,0.0,58493.348124697804,0.0,0.0,0.9947339296340942,0.0
5617186348318629248,TESS,TGLC,0.0,58493.36895810673,0.0,0.0,0.993370532989502,0.0
5617186348318629248,TESS,TGLC,0.0,58493.38979151426,0.0,0.0,1.003631591796875,0.0
5617186348318629248,TESS,TGLC,0.0,58493.41062492132,0.0,0.0,1.0018670558929443,0.0
5617186348318629248,TESS,TGLC,0.0,58493.43145832745,0.0,0.0,0.9970576167106628,0.0
