Gaia source ID_1,Light curves_1,Spectrum_1,X-ray cat_1,Period(me),Tier_1,Per(lamost),Type,psuperclass,pvarTypes,pPer(gaia-xmatch),pCat,My class,Gaia Var. Class,Simbad Class,period(ztf),sin_dnn,rscvn_dnn,emsms_dnn,ea_dnn,rrlyr_dnn,el_dnn,saw_dnn,bogus_dnn,wuma_dnn,e_dnn,yso_dnn,ceph_dnn,cv_dnn,srv_dnn,fla_dnn,blyr_dnn,wp_dnn,eb_dnn,blher_dnn,hp_dnn,ext_dnn,dip_dnn,rrab_dnn,vnv_dnn,pnp_dnn,wvir_dnn,dp_dnn,bright_dnn,ceph2_dnn,dscu_dnn,bis_dnn,osarg_dnn,rrblz_dnn,i_dnn,puls_dnn,mp_dnn,rrc_dnn,mir_dnn,agn_dnn,longt_dnn,blend_dnn,ew_dnn,lpv_dnn,rrd_dnn,rrd_xgb,wvir_xgb,dp_xgb,blher_xgb,lpv_xgb,agn_xgb,dscu_xgb,puls_xgb,rrc_xgb,mir_xgb,e_xgb,rscvn_xgb,rrlyr_xgb,bis_xgb,emsms_xgb,mp_xgb,ew_xgb,bogus_xgb,ea_xgb,vnv_xgb,pnp_xgb,longt_xgb,dip_xgb,cv_xgb,blend_xgb,ext_xgb,wuma_xgb,srv_xgb,fla_xgb,bright_xgb,el_xgb,ceph_xgb,eb_xgb,wp_xgb,hp_xgb,i_xgb,blyr_xgb,yso_xgb,saw_xgb,ceph2_xgb,rrab_xgb,sin_xgb,osarg_xgb,rrblz_xgb
2169083008475385856,"ZTF, ASAS-SN, ATLAS, NEOWISE, TESS",-,-,-,Bronze,,,,,,,-,Unclassified,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2173852964799716480,"ZTF, ASAS-SN, ATLAS, NEOWISE, TESS",-,-,-,Bronze,,,,,,,-,Unclassified,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2175699216614191360,"ZTF, ASAS-SN, ATLAS, NEOWISE, TESS",-,-,4.769977d,Silver,,,OMIT,OMIT,61.822647,ATLAS_VAR_HEINZE_2018,"Sin,Puls?,Ell?",Unclassified,Em* (*|Em*),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2200433413577635840,"ZTF, ASAS-SN, ATLAS, NEOWISE, TESS","CAFOS, LAMOST-M, FIES-M",-,-,Gold,,,,,,,Outb?,LPV,LP*_Candidate (*|Em*|LP?|NIR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2206767944881247744,"ZTF, ASAS-SN, ATLAS, NEOWISE, TESS",CAFOS,-,9.250254hr,Diamond,,,,,,,Ell,Unclassified,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2931553674771048704,"ASAS-SN, NEOWISE, TESS",-,-,-,Bronze,,,OMIT,OMIT,,COMP_VAR_VSX_2019,-,Unclassified,Star (*|NIR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2934216142176785920,"ASAS-SN, NEOWISE, TESS",-,-,-,Bronze,,,L,L,,ASASSN_VAR_JAYASINGHE_2019,-,LPV,LPV* (*|LP*|NIR|V*|V*?),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3355776901779440384,"ASAS-SN, NEOWISE, TESS",-,-,-,Bronze,,,,,,,-,BE|GCAS|SDOR|WR,Star (*|NIR|UV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3369399099232812160,"ASAS-SN, NEOWISE, TESS",GRVS,-,-,Bronze,,,OMIT,OMIT,554.634521,ATLAS_VAR_HEINZE_2018,-,Unclassified,Star (*|NIR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3444168325163139840,"ASAS-SN, NEOWISE, TESS",LAMOST-M,-,-,Silver,,,,,,,Puls?,Unclassified,Em* (*|Em*|NIR|Opt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
