allwise_oid,source_id,ra,dec,l,b,mg0,bprp0,w1mpro,w2mpro,w3mpro,w4mpro,halpha_w,halpha_werror,halpha_d,hbeta_w,hbeta_werror,hbeta_d,best_class_score,best_class_name,dist50,av50,teff50,logg50,met50,mass50,ag50,bp_rp_excess_corr,parallax,parallax_over_error,phot_g_mean_mag,phot_g_mean_flux,phot_g_mean_flux_error,log_g_err,bp_rp,pmra,pmra_error,pmdec,pmdec_error,grvs_mag,radial_velocity,radial_velocity_error,rv_nb_transits,main_type,other_types
63522826,5350869719969619840,162.50433001655531,-58.29916180880919,287.52989551268763,0.8943257710204513,-3.2898583,0.024961486,8.888,8.855,8.57,7.659,0.72326,0.398649,0.954269,-0.518156,0.501275,0.725888,0.0,Unclassified,2.4566755,2.1321306,9583.485,2.8228512,0.218503,5.205256,1.8817211,0.012488484,0.3821193872465687,31.816153,10.543602,1141578.8967009324,2262.584,-2.3049612144525433,0.99986553,-6.6822743670670715,0.01175351,2.639829488854148,0.011624909,9.620643,-14.893543,1.9602182,9,Em*,*|Em*|NIR
130845176,5524022735225482624,130.8648627871835,-43.583727568034234,263.1706544993057,-0.6674981488611873,-2.0113564,0.38713685,9.564,9.475,9.042,5.922,0.127194,0.676817,0.83203,-0.471561,0.675293,0.760304,0.33159974,ECL,2.5944993,4.7005167,6964.1504,2.5340514,-0.96821433,2.7065687,3.6373367,0.0014696121,0.33640180453969193,26.42627,13.696248,62581.71484518534,232.97389,-2.0312001782949363,2.3297958,-3.231477294484747,0.013310869,2.4046783170681723,0.014629956,NULL,NULL,NULL,NULL,,
180520637,5593826360487373696,117.09764238576608,-34.384837641804026,249.582942873802,-4.408678355853204,-5.059007,0.2575815,7.773,7.609,7.248,6.458,0.889251,0.600113,0.928432,-2.158714,0.952011,0.874583,0.0,Unclassified,4.243965,5.087813,7383.8794,1.8430504,-0.09136594,7.062677,3.9288049,0.031043291,0.20833278217865342,11.409379,12.0086565,296131.10136876145,1235.5515,-1.9816831389276188,2.3615923,-2.1189521412819,0.017056134,3.667902695103998,0.020510163,10.329039,89.33911,11.007165,19,V*,*|MIR|NIR|Opt|V*
206821337,5599309216965305728,114.94332536724544,-29.808629545683626,244.69161241412147,-3.727422510719015,-2.6112893,0.0062272283,9.721,9.632,9.123,8.576,0.126129,0.163258,1.406839,-0.464948,0.2745,1.050479,0.0,Unclassified,3.2291942,0.52519476,8429.3955,2.7564614,-0.59072524,3.9462607,0.47707585,0.010655522,0.29997907495185067,19.613379,10.411258,1289566.1572344888,1705.5444,-2.4806405553306026,0.2504835,-2.0830846345600946,0.013879052,3.656312021609523,0.016556356,10.090017,64.628456,0.4462445,19,Star,*|NIR
232009868,5617186348318629248,107.90701042314745,-25.523668432454166,237.95898558762948,-7.227813908147809,1.0231512,0.8746516,11.524,11.53,10.794,7.684,0.784803,0.379181,0.867484,0.0,0.557926,,0.3646658,RS,2.8447697,0.92537826,5255.33,2.666,-1.7770603,0.78724873,0.7683117,0.009786487,0.3216945443255159,22.106298,14.061699,44695.83694393505,57.27622,-2.494352711432721,1.2715645,-0.37295554098309724,0.010896099,0.8539947228804756,0.0133310035,12.996798,99.312355,4.761083,30,,
51284865,5866345647515558400,209.6089485002367,-61.61737599328467,310.8058056430726,0.2258820367530693,-1.1997657,0.8312056,9.605,9.601,8.376,6.497,0.319965,0.945446,0.83502,0.0,1.394016,,0.0,Unclassified,2.5005927,5.7289376,5542.034,2.406323,-0.7682893,2.3190145,4.1801314,0.0064655542,0.2795440750238077,11.373614,14.970581,19351.48381124825,42.492725,-2.2604596836041617,3.0997477,-7.446293944384416,0.016753474,-2.415013163464156,0.021069657,13.110471,16.038137,4.1922393,36,,
53834216,5866474526572151936,211.28216975570965,-60.89928966582545,311.77384793443696,0.7011094761806874,-2.348358,0.060664948,10.026,9.985,9.814,6.841,0.29451,0.280589,0.98559,-0.570763,0.203224,0.768171,0.1506544,RS,2.7100885,3.005738,9515.091,3.1040792,-0.09355751,3.8308167,2.5761106,0.013690591,0.3777268653512785,33.94041,12.39267,207911.69615396467,176.9244,-2.6721512066968027,1.4057245,-5.018919501708527,0.0075622657,-2.6545387786266437,0.009374767,NULL,NULL,NULL,NULL,,
50258491,5868425648663616768,201.66014841558825,-61.91159952440202,307.06316049003874,0.6774537384139206,-1.4783131,0.89769477,10.06,10.106,9.509,8.321,0.33009,1.038296,1.067967,-5.627233,8.150154,0.697698,0.0,Unclassified,3.7057269,5.9672318,5392.7812,2.3022337,-0.48807338,2.8350854,4.3132567,0.0028252602,0.20205345130265623,6.146822,15.679311,10074.476275727106,17.17197,-2.3704623587376954,3.2460918,-7.557798311850739,0.023944832,-0.08329732451708374,0.030531412,13.660772,-23.467184,15.944907,24,,
65069253,5880159842877908352,228.14787838743445,-57.90136342245248,320.8088395336981,-0.01467473642716609,-3.4540615,0.037367124,9.043,8.876,8.912,7.538,0.597805,0.650981,0.753918,-3.407331,1.643147,0.788471,0.0,Unclassified,2.9479764,6.928572,8523.552,2.4207668,-0.98258656,3.9089584,5.201806,0.007605195,0.27193644557684615,13.582464,14.095365,43331.20329188548,55.436596,-2.495064180176943,2.8667068,-5.837138708355974,0.018669795,-4.030823826821529,0.021225326,12.349638,-16.085007,4.09855,24,,
70558409,5882737819707242240,235.76968046978857,-56.52899888437403,324.99216788907916,-1.195428850840929,-1.3382175,0.626455,9.292,9.307,8.852,7.659,0.144914,0.145241,0.757444,-0.67775,0.169277,0.769889,0.0,Unclassified,2.0671146,1.5810238,6318.6914,2.7361145,0.2485224,3.2980385,1.3220336,0.014040232,0.4553274527993148,25.225857,11.560638,447395.3503717227,487.40726,-2.564859450148578,1.3121576,-2.586881465497378,0.020019386,-3.103303490172166,0.018300578,NULL,NULL,NULL,NULL,Star,*|NIR
115654736,5962956195185292288,257.2449530310301,-46.597041284491794,341.3202584942891,-3.83684438314472,-4.8245215,0.7888852,7.704,7.574,7.076,6.462,1.136615,5.449979,0.805087,-5.777928,4.563821,0.768237,0.6051121,LPV,3.9890008,7.686237,6370.97,1.6404858,-0.4892568,6.164876,5.4392858,0.007654071,0.19401735744737963,5.7397413,13.619085,67191.21432849667,570.9632,-1.6727643760664812,3.7958002,-6.396431915670871,0.041620966,2.288133281017542,0.031971693,11.46696,-218.60368,1.0422776,22,LPV*,*|C*?|LP*|NIR
136638496,5965503866703572480,256.8225154129634,-42.46362131904985,344.4583250524564,-1.1260248627703358,-2.660227,0.04966869,10.401,10.422,10.601,6.447,-0.651463,0.333865,0.836265,0.11881,0.522298,0.632325,0.0,Unclassified,3.0901291,5.285342,11138.006,3.1019964,-0.3202376,4.5127926,4.3430476,0.009589076,0.286567012897224,14.30944,14.132704,41866.36732478241,50.19836,-2.523235731601501,2.357298,-1.9834014515976834,0.030093126,-3.433673602555351,0.0196734,NULL,NULL,NULL,NULL,,
141794785,5966574133883852416,254.5208661906465,-41.47606950450104,344.19459806101133,0.8319667034227248,0.36568114,0.5203747,12.157,12.377,9.733,7.608,0.376254,4.112733,0.833052,5.206773,2.240501,0.854671,0.0,Unclassified,2.4964778,6.2680373,6949.9253,3.4334068,0.49531904,2.3598926,4.6473174,-0.0020581484,0.4251067227506599,5.115349,16.999638,2986.0146627200966,17.159737,-1.842641309274116,3.0440292,0.03725550883986117,0.08929987,-2.027097069062207,0.07387474,NULL,NULL,NULL,NULL,,
260673902,6052463412400724992,248.78060009435228,-20.725943764017888,357.3648034333395,17.760878036868565,1.2872627,0.8889686,13.112,13.139,12.268,8.747,5.163021,6.465915,0.732037,1.408646,1.250633,0.674777,0.0,Unclassified,5.1577506,2.0608814,5236.9775,2.8281972,-1.2603954,0.85417163,1.6526654,0.0066734552,0.37220741689753206,5.494619,16.50223,4721.223857649515,13.774984,-2.137023457947167,1.7524242,1.0033993501421339,0.08774419,1.6259627531565948,0.060528245,NULL,NULL,NULL,NULL,,
48333728,6053890788968694656,189.27230048331643,-62.46975649279585,301.2746854880698,0.35581380630421555,-2.4961483,0.33639765,10.021,9.975,9.611,8.01,0.188066,0.411235,0.884948,-1.485955,0.665532,0.78421,0.0,Unclassified,3.5587182,4.8986645,7484.639,2.6856709,0.4033675,4.2281566,3.810737,0.015239835,0.23661070871110693,13.526722,14.071056,44312.294898198896,54.381542,-2.5131327080313093,2.372589,-6.795145770549172,0.016739417,-0.286269371187208,0.019324463,NULL,NULL,NULL,NULL,,
186881495,6123873398383875456,212.0047472822256,-33.261992503840816,320.84621850228115,26.93177861219047,0.77609617,0.54762036,10.392,10.417,10.322,9.092,-0.455042,0.453783,0.915574,0.216345,0.403721,0.934175,0.0,Unclassified,1.315659,0.21365842,6530.4136,3.4881136,0.1902478,2.152888,0.1875126,0.0035706758,0.724984970763107,6.5531316,11.559325,447936.881347515,1074.0088,-2.222268977940019,0.64362717,-20.081406580933965,0.11862537,-10.156104664803747,0.13394433,10.988627,13.333953,3.6445198,10,Star,*|NIR
230437026,6228685649971375616,223.1953970859342,-25.789888765512465,334.45063397360286,29.55343719987476,0.5450019,0.6466375,13.624,13.658,12.366,8.676,0.432348,1.60201,0.764999,-0.643098,1.113899,1.477505,0.0,Unclassified,7.0938845,0.40425152,6092.923,2.7457323,-1.4865819,0.73,0.34873012,0.0114148855,0.18267730849516503,5.061145,15.148152,16431.83106603226,69.46803,-1.9759609708443038,0.82562256,-0.6205368941277603,0.03609106,-7.6073267635178965,0.03348879,NULL,NULL,NULL,NULL,EB*,*|EB*|MIR|NIR|Opt|V*
